Id,TM Cell ID,Site on Master Site List,Date of Master Site Listing
a0p4J000000DnFQQA0,12198,Yes,2026-05-15
a0p4J000000DnFRQA0,12199,Yes,2026-05-15
a0p4J000000DnFSQA0,12200,Yes,2026-05-15
a0p4J000000DnFTQA0,12203,Yes,2026-05-15
a0p4J000000DnFUQA0,12205,Yes,2026-05-15
a0p4J000000DnFXQA0,12210,,
a0p4J000000DnFeQAK,12223,Yes,2026-05-15
a0p4J000000DnFiQAK,12229,Yes,2026-05-15
a0p4J000000DnFjQAK,12230,Yes,2026-05-15
a0p4J000000DnFlQAK,12233,Yes,2026-05-15
a0p4J000000DnFnQAK,12236,Yes,2026-05-15
a0p4J000000DnFsQAK,12247,Yes,2026-05-15
a0p4J000000DnFtQAK,12248,Yes,2026-05-15
a0p4J000000DnFuQAK,12249,Yes,2026-05-15
a0p4J000000DnFvQAK,12250,Yes,2026-05-15
a0p4J000000DnFzQAK,12259,Yes,2026-05-15
a0p4J000000DnG4QAK,12277,Yes,2026-05-15
a0p4J000000DnG5QAK,93258,Yes,2026-05-15
a0p4J000000DnG9QAK,12284,Yes,2026-05-15
a0p4J000000DnGAQA0,12285,Yes,2026-05-15
a0p4J000000DnGCQA0,12287,Yes,2026-05-15
a0p4J000000DnGDQA0,12288,Yes,2026-05-15
a0p4J000000DnGEQA0,12292,Yes,2026-05-15
a0p4J000000DnHAQA0,12380,Yes,2026-05-15
a0p4J000000DnHCQA0,12385,Yes,2026-05-15
a0p4J000000DnHDQA0,12389,Yes,2026-05-15
a0p4J000000DnHGQA0,12394,Yes,2026-05-15
a0p4J000000DnHHQA0,12395,Yes,2026-05-15
a0p4J000000DnHIQA0,12396,Yes,2026-05-15
a0p4J000000DnHJQA0,12397,Yes,2026-05-15
a0p4J000000DnHKQA0,12398,Yes,2026-05-15
a0p4J000000DnHLQA0,12402,Yes,2026-05-15
a0p4J000000DnHNQA0,12405,Yes,2026-05-15
a0p4J000000DnHOQA0,12406,Yes,2026-05-15
a0p4J000000DnHPQA0,12407,Yes,2026-05-15
a0p4J000000DnHQQA0,12408,Yes,2026-05-15
a0p4J000000DnHRQA0,12409,Yes,2026-05-15
a0p4J000000DnHSQA0,12411,Yes,2026-05-15
a0p4J000000DnHUQA0,12415,Yes,2026-05-15
a0p4J000000DnHZQA0,12422,Yes,2026-05-15
