Project Reference,Project ID,Project ID Id,Id Project ID,HE/MEAS Delay Status,Firm Order Placed,Ran Priority,NIA Order Delivery (A),Transmission Delivered (A),Transmission Delivered (F),COC Uploaded,PRTC (A),PRTC (F),HE/MEAS Status,WES PSID
PX71-SG-CKIGIHH,P-193244,a1e4J000000CKLAQA4,a0i4J0000023SgJQAU,NONE,5/20/2022,Nokia,,8/18/2022,,,12/3/2020,,7.0 COMPLETED (10GB),BTWD213958
,P-193275,a1e4J000000CKLBQA4,a0i4J0000023SgyQAE,,,,,,,,,,,BTWD209881
PX71-SG-CKIGMMO,P-193276,a1e4J000000CKLCQA4,a0i4J0000023SgzQAE,NONE,4/28/2020,Huawei,,8/19/2020,,5/19/2022,8/24/2021,,7.0 COMPLETED (10GB),BTWD209955
PX71-SG-CKIGNHN,P-193277,a1e4J000000CKLDQA4,a0i4J0000023Sh0QAE,NONE,5/26/2020,Huawei,,10/13/2020,,10/13/2020,9/2/2019,,7.0 COMPLETED (10GB),BTWD209831
PX71-SG-CKIHFIN,P-193279,a1e4J000000CKLFQA4,a0i4J0000023Sh2QAE,NONE,5/27/2020,Huawei,,1/8/2021,,1/8/2021,4/18/2019,,7.0 COMPLETED (10GB),BTWD209839
PX71-SG-CKIJMGN,P-193280,a1e4J000000CKLGQA4,a0i4J0000023Sh3QAE,NONE,11/19/2018,Huawei,,4/18/2019,,4/28/2022,1/28/2019,,7.0 COMPLETED (10GB),BTWD205842
PX71-SG-CKIJNPM,P-193281,a1e4J000000CKLHQA4,a0i4J0000023Sh4QAE,NONE,9/20/2018,Huawei,,7/16/2019,,7/17/2019,1/28/2019,,7.0 COMPLETED (10GB),BTWD205620
PX71-SG-CKIILOP,P-193282,a1e4J000000CKLIQA4,a0i4J0000023Sh5QAE,,6/11/2019,Huawei,,9/13/2019,,8/10/2022,8/14/2019,,7.0 COMPLETED (10GB),BTWD206953
PX71-SG-CKIJFIK,P-193283,a1e4J000000CKLJQA4,a0i4J0000023Sh6QAE,NONE,5/9/2019,Huawei,,7/7/2020,,10/14/2021,2/7/2019,,7.0 COMPLETED (10GB),BTWD206742
PX71-SG-CKIGKKJ,P-193284,a1e4J000000CKLKQA4,a0i4J0000023Sh7QAE,NONE,5/27/2020,Huawei,,9/15/2021,,9/15/2021,7/29/2021,,7.0 COMPLETED (10GB),BTWD209988
PX71-SG-CKIJLOQ,P-193305,a1e4J000000CKLLQA4,a0i4J0000023ShSQAU,NONE,11/19/2018,Huawei,,1/15/2020,,1/15/2020,3/19/2019,,7.0 COMPLETED (10GB),BTWD205833
